DATE,FOCAL,INDUCER,TREATMENT,REP.NUMB,SUBPLOT,PLOT,POSITION,BACKGROUND,HEIGHT.CM,MAIN.AXIS.CM,SEC.AXIS.CM,LAT.AXIS.CM,SHAPE,NUMB.LEAVES,TOTAL.STEM.CM,SEED.LEAF.HEIGHT,INTERNODE.1,INTERNODE.2,INTERNODE.3,INTERNODE.4,COMMENTS
June 3rd,Sil,Cen,Cen(Sil),2,10-A,10,13,0,4,5,3.8,4.4,0.909090909,7,,0,,,,,ROSETTE
June 3rd,Sil,None,None(Sil),4,10-B,10,4,0,5,6,5.5,5.75,0.869565217,13,,0,,,,,ROSETTE
June 3rd,Sil,Bug,Bug(Sil),1,10-B,10,7,0,3,3,2.8,2.9,1.034482759,7,,0,,,,,ROSETTE
June 3rd,Sil,Sin,Sin(Sil),1,10-B,10,14,0,5,6,4.3,5.15,0.970873786,6,,0,0.5,,,,ROSETTE
June 3rd,Sil,None,None(Sil),1,14-B,14,8,0,8,8,6,7,1.142857143,13,,0,0-5,1,2,1,LOW STEM
June 3rd,Sil,Sil,Sil(Sil),3,15-A,15,12,BUG-1,5,5,3.2,4.1,1.219512195,10,,0,,,,,ROSETTE
June 3rd,Sil,Bug,Bug(Sil),3,15-A,15,15,BUG-1,4.5,5,4,4.5,1,7,,0,,,,,ROSETTE
June 3rd,Sil,Sil,Sil(Sil),2,15-B,15,10,PAP-1,5,5.5,4.5,5,1,9,,0,,,,,
June 3rd,Sil,None,None(Sil),5,15-B,15,11,PAP-1,4.7,6.5,5.2,5.85,0.803418803,9,,0,,,,,ROSETTE - LEAVES EATEN BY HERBIVORES
June 3rd,Sil,None,None(Sil),3,20-B,20,7,0,4.5,6,4,5,0.9,10,,0,,,,,ROSETTE
June 3rd,Sil,Pap,Pap(Sil),2,20-B,20,9,0,2,2.8,1.6,2.2,0.909090909,4,1,0.5,,,,,ROSETTE
June 3rd,Sil,Pap,Pap(Sil),1,22-B,22,,0,5,3.5,3.5,3.5,1.428571429,6,,0,,,,,ROSETTE
June 3rd,Sil,Sil,Sil(Sil),1,22-B,22,,0,6,8,6,7,0.857142857,9,,0,,,,,ROSETTE WITH LOW STEM
June 3rd,Sil,Cen,Cen(Sil),3,25-B,25,10,CEN-5,5,5,5,5,1,8,2.2,0,0.5,1.2,,,
June 3rd,Sil,Pap,Pap(Sil),3,28-A,28,14,PAP-4,3.5,4,2.5,3.25,1.076923077,6,0,0,,,,,ROSETTE
June 3rd,Sil,Sil,Sil(Sil),2,5-A,5,13,0,6,5,3,4,1.5,10,2.5,0,1.8,,,,LOOKS SICK - WHITE DOTS ON LEAVES (FUNGHI)
June 3rd,Sil,None,None(Sil),2,5-B,5,1,0,2.5,3,2.5,2.75,0.909090909,6,,0,,,,,ROSETTE
June 3rd,Sil,Cen,Cen(Sil),1,5-B,5,6,0,4,5,2.5,3.75,1.066666667,5,,0,,,,,ROSETTE
June 3rd,Sil,Sil,Sil(Sil),4,6-B,6,11,SIL-2,5,6.8,6.3,6.55,0.763358779,11,,0,,,,,ROSETTE
June 3rd,Sil,Cen,Cen(Sil),4,7-A,7,1,CEN-3,4,3.4,3,3.2,1.25,5,,0,,,,,ROSETTE
June 3rd,Sil,Sil,Sil(Sil),2,15-B,10,10,PAP-1,5,5.5,4.5,5,1,9,,0,,,,,
June 3rd,Sin,Sil,Sil(Sin),5,10-A,10,5,0,31.5,14.5,12,13.25,2.377358491,19,128.5,0,2,1.7,0.8,1.5,
June 3rd,Sin,None,None(Sin),5,10-A,10,7,0,44,24.5,12,18.25,2.410958904,16,67.5,0,0.8,1.3,2.9,"3,8",
June 3rd,Sin,Pap,Pap(Sin),3,10-A,10,9,0,41,16,16,16,2.5625,15,116,0,0.4,4.5,4.9,5,
June 3rd,Sin,Sin,Sin(Sin),5,10-A,10,15,0,52.5,17,8,12.5,4.2,13,128.5,0,,,,,DATA FOR NODE MISSING
June 3rd,Sin,Cen,Cen(Sin),5,10-B,10,2,0,44,24.5,12,18.25,2.410958904,16,67.5,0,0.8,1.3,2.9,3.8,
June 3rd,Sin,Bug,Bug(Sin),4,10-B,10,13,0,37.5,29,24.5,26.75,1.401869159,15,68,0,2,3.5,6,6,Wrong position code was 10-A
June 3rd,Sin,None,None(Sin),1,14-A,14,11,0,50,13,12,12.5,4,23,397,0,2,2,3.5,4,
June 3rd,Sin,Sil,Sil(Sin),1,14-A,14,13,0,44,24,20,22,2,38,311,0,1,3,2,4,
June 3rd,Sin,Bug,Bug(Sin),1,14-B,14,3,0,47,11,10,10.5,4.476190476,23,102,0-5,1,1,2,2,
June 3rd,Sin,Sin,Sin(Sin),1,14-B,14,7,0,47,15,10,12.5,3.76,14,77,0.5,1,3.5,3,5,
June 3rd,Sin,Bug,Bug(Sin),5,15-A,15,7,BUG-1,45,23,18,20.5,2.195121951,20,133.5,0,1.5,1.8,1.6,4,
June 3rd,Sin,Pap,Pap(Sin),5,15-B,15,,PAP-1,60,30,29,29.5,2.033898305,28,232,0,0.5,1,1.2,2,
June 3rd,Sin,Sil,Sil(Sin),4,20-A,20,3,0,54,24,16,20,2.7,19,218,1,1.5,1.3,2,2.5,
June 3rd,Sin,Cen,Cen(Sin),4,20-A,20,10,0,48,26,26,26,1.846153846,36,47,0,0.8,1.7,2,3.5,
June 3rd,Sin,None,None(Sin),4,20-A,20,14,0,48,26,26,26,1.846153846,36,47,0,0.8,1.7,2,3.5,
June 3rd,Sin,Sin,Sin(Sin),4,20-B,20,1,0,46,15,14.5,14.75,3.118644068,24,140.5,3.7,0.8,1.2,2.5,"3,8",
June 3rd,Sin,Pap,Pap(Sin),2,20-B,20,2,0,25,10.5,8,9.25,2.702702703,5,34.5,0.6,0.6,0.7,2.6,4.5,
June 3rd,Sin,Bug,Bug(Sin),3,20-B,20,13,0,39,30,23,26.5,1.471698113,21,112,0,2,2,9,5,
June 3rd,Sin,Cen,Cen(Sin),1,22-A,22,5,0,31,13,9,11,2.818181818,19,87,0,0.5,1,2,1,APHIDS
June 3rd,Sin,None,None(Sin),3,22-A,22,15,0,25,13,11.5,12.25,2.040816327,28,60,0,1,0.5,1,2,
June 3rd,Sin,Pap,Pap(Sin),1,22-A,22,,0,41,12,10,11,3.727272727,26,221,1,1,2,1.5,1,
June 3rd,Sin,Sin,Sin(Sin),2,22-B,22,3,0,41,9,8,8.5,4.823529412,16,78.5,0.5,2.5,2,3,3,
June 3rd,Sin,Sin,Sin(Sin),3,22-B,22,3,0,39,23,17,20,1.95,16,88,0,1,3,4,3,
June 3rd,Sin,None,None(Sin),2,22-B,22,6,0,30,10,9,9.5,3.157894737,19,95.5,1,1,1,1.5,4,
June 3rd,Sin,Pap,Pap(Sin),4,5-A,5,5,0,41,29.5,29,29.25,1.401709402,26,147,0,1.5,1.5,3.5,3.2,
June 3rd,Sin,Bug,Bug(Sin),2,5-B,5,9,0,32,7,6,6.5,4.923076923,12,28,0.5,2,1,1.5,2,
June 3rd,Sin,None,None(Sin),2,5-B,5,13,0,54,14,11,12.5,4.32,33,172,0,0.5,1,1,3,
June 3rd,Sin,Cen,Cen(Sin),2,5-B,5,15,0,46,16,11,13.5,3.407407407,17,129,0.5,1,1,1,3.5,
June 3rd,Sin,Sil,Sil(Sin),3,6-B,6,8,SIL-2,31,22,15,18.5,1.675675676,24,95,0,1,1,2,3,
June 3rd,Sin,Cen,Cen(Sin),3,9-A,9,7,CEN-2,35,10,10,10,3.5,12,59,1,1,0.5,1.5,3,
